0.976932
class4,p
Ia,0.760680762468837
II,0.716783373150975
II,0.66590904223267
Ia,0.724011875456199
nonevent,0.020583680132404
nonevent,0.121682025375776
Ia,0.551584827946499
II,0.681565473903902
nonevent,0.328871016274206
Ib,0.712519828579389
II,0.536096297670156
Ia,0.843570595723577
Ia,0.9263930140296
Ia,0.93360877642408
nonevent,0.0445409297244623
Ia,0.506519056623802
Ib,0.71162803506013
nonevent,0.486629225313663
Ib,0.749534043832682
Ia,0.997326302225702
II,0.747440910898149
nonevent,0.0615178006701171
Ia,0.780192880774848
II,0.619646263425238
Ia,0.862625263864174
II,0.893013697583228
II,0.724890942801721
II,0.734539959579706
Ib,0.700930011924356
Ia,0.951187756028958
Ia,0.781844204873778
nonevent,0.345498338225298
Ia,0.66613711847458
II,0.547432053135708
II,0.96895191213116
Ib,0.835509531898424
Ia,0.507497045793571
Ia,0.556556884199381
Ib,0.923895428772084
Ib,0.72340972092934
II,0.700940194656141
Ib,0.716107101063244
nonevent,0.331802206928842
Ia,0.591184662538581
nonevent,0.419169379980303
II,0.958686487516388
Ib,0.899150531622581
Ib,0.751528140855953
Ia,0.627229748526588
nonevent,0.333622717880644
nonevent,0.470549687393941
nonevent,0.490380514645949
Ib,0.526148636941798
II,0.691202260670252
II,0.903088793391362
II,0.773943849490024
Ia,0.652232260792516
II,0.701152413268574
Ib,0.513797893188894
Ia,0.924496843595989
nonevent,0.015516851330176
Ib,0.826145915780216
II,0.798420552397147
II,0.656305519049056
nonevent,0.493455050163902
II,0.914463469525799
II,0.803858965053223
II,0.569056317908689
nonevent,0.435463581117801
Ia,0.788543871487491
Ib,0.89958628534805
nonevent,0.0140981030417606
Ib,0.628178870189004
nonevent,0.378383456729352
Ib,0.914974152459763
II,0.761856124387123
II,0.81896879512351
nonevent,0.243952802848071
II,0.7909192990046
Ia,0.55018501135055
Ib,0.920806984300725
nonevent,0.201246937387623
Ib,0.88630230689887
II,0.97572892520111
Ib,0.632734490907751
nonevent,0.4146487491671
Ia,0.8268305468373
Ib,0.89925754070282
nonevent,0.0930757273454219
Ia,0.87735378742218
Ib,0.867960184230469
Ib,0.875892874319106
II,0.666307242237963
II,0.528774312115274
II,0.837207723758183
Ib,0.520785086555406
Ia,0.821781515958719
II,0.649802253465168
Ib,0.696715540252626
nonevent,0.461752131115645
nonevent,0.33960889687296
Ib,0.858773154090159
II,0.858568310504779
II,0.614086029469036
nonevent,0.204386970028281
II,0.785556981456466
nonevent,0.439725074451417
Ia,0.797339013428427
nonevent,0.459072572877631
II,0.675691863172688
II,0.626994203776121
Ia,0.857055773376487
Ib,0.609235244221054
II,0.721682826755568
Ia,0.848106340970844
Ia,0.836752071045339
Ia,0.590269587235525
Ia,0.865872588241473
nonevent,0.163281491259113
Ib,0.676212295657024
Ia,0.894496591645293
Ib,0.682268534670584
Ia,0.641580467345193
II,0.630309797241352
II,0.513459888170473
Ib,0.828146348125301
Ib,0.873389951535501
II,0.815572753897868
Ia,0.527259049704298
II,0.763642432284541
Ia,0.543886237428524
II,0.635143764549866
Ia,0.50063626409974
nonevent,0.353257174021564
II,0.898540178663097
Ib,0.567146437941119
nonevent,0.299565239576623
Ia,0.67960684443824
Ib,0.839032279793173
Ia,0.682965035433881
Ia,0.900443283026107
Ia,0.993515137699433
nonevent,0.241630351752974
nonevent,0.0393507421249524
Ib,0.567227528314106
II,0.947167798876762
Ib,0.856773291598074
II,0.937083620810881
Ib,0.951887435396202
Ia,0.738649979350157
II,0.533389292773791
Ia,0.859939523157664
nonevent,0.135964513407089
Ia,0.663290174212307
Ia,0.692524813464843
II,0.665354798664339
Ib,0.54929015727248
nonevent,0.290589388110675
Ia,0.878096041735262
Ia,0.758502075215802
II,0.637262897915207
Ib,0.722308887518011
Ib,0.947803139220923
Ia,0.960641287849285
Ib,0.760668210918084
II,0.882931494037621
Ib,0.883360760984942
Ib,0.91911484929733
nonevent,0.470374845084734
II,0.711392725119367
nonevent,0.302367944503203
Ia,0.610098911449313
Ia,0.929599355207756
II,0.963846386177465
Ia,0.791719251428731
Ib,0.829422468319535
II,0.53265423560515
Ia,0.622273781918921
Ib,0.754468228667974
II,0.757471584365703
nonevent,0.381831672042608
II,0.633925757138059
Ia,0.843870455166325
Ib,0.778862771694548
II,0.715488302754238
Ia,0.93045752204489
nonevent,0.0558345497120172
Ia,0.658152521238662
Ib,0.870494650909677
Ib,0.773305994458497
Ia,0.58985694067087
nonevent,0.340814109542407
II,0.552658550674096
Ib,0.644291445263661
Ia,0.862027054303326
II,0.5226955791004
II,0.554411601275206
II,0.708814003970474
Ia,0.798262852826156
Ib,0.598602814367041
Ia,0.750552968704142
Ib,0.912360917427577
Ia,0.546027211006731
Ib,0.735204514930956
Ib,0.940469756140374
nonevent,0.217864347854629
nonevent,0.138327915687114
nonevent,0.0285672962199897
II,0.942463060142472
nonevent,0.0739427196094766
Ia,0.658690741751343
nonevent,0.340307992068119
II,0.641313171363436
nonevent,0.212371056317352
Ib,0.743772323476151
Ia,0.620707810739987
II,0.680075166746974
Ib,0.534577355952933
Ia,0.680347615503706
nonevent,0.491489578038454
II,0.595031467266381
II,0.93594619189389
nonevent,0.0562922910321504
II,0.597044425318018
nonevent,0.365078290691599
Ia,0.635123950545676
Ia,0.60503140266519
nonevent,0.291267126565799
nonevent,0.0421700548613444
II,0.735952924820594
Ib,0.652890001074411
nonevent,0.445351293077692
II,0.60579224943649
Ib,0.760512818815187
nonevent,0.00708070688415319
Ia,0.763408296741545
Ib,0.692774849012494
II,0.500766924349591
Ia,0.783191737835295
Ia,0.723912960849702
Ia,0.807942775893025
Ia,0.525106618530117
nonevent,0.326372352195904
Ib,0.661506298696622
II,0.579225595341995
Ib,0.605937141692266
II,0.686157704214565
nonevent,0.336844003992155
Ib,0.578321759589016
II,0.70188327843789
Ia,0.63128676218912
Ia,0.674799669650383
Ib,0.556585008860566
Ib,0.646684936247766
nonevent,0.0660559131065384
Ia,0.729099740623496
II,0.867806916241534
nonevent,0.0269245783565566
Ia,0.696305249934085
II,0.920776548911817
Ib,0.698939447989687
Ib,0.728185056359507
Ia,0.979072687681764
Ib,0.887946996488608
Ib,0.73835906048771
Ia,0.992284864769317
II,0.647805888787843
nonevent,0.0906697075115517
Ia,0.886277367128059
Ia,0.935361347626895
Ib,0.656518904026598
II,0.957132507814094
Ia,0.957554745371453
Ib,0.90374920272734
Ia,0.676418501650915
II,0.837786547257565
Ia,0.634448446682654
Ia,0.97886516188737
II,0.560689082718454
II,0.661487275501713
Ia,0.814393115695566
Ib,0.620964747853577
Ib,0.964372692978941
Ia,0.796400740277022
nonevent,0.180458353715949
Ia,0.804179144324735
Ia,0.801567025016993
nonevent,0.44050160702318
II,0.815278485300951
Ia,0.932936296681874
II,0.961257458431646
Ib,0.784389395616017
II,0.873307677800767
Ia,0.695981575758196
nonevent,0.0707443164428696
Ia,0.97255934542045
Ib,0.621466067386791
nonevent,0.0111228397581726
Ib,0.613897154806182
Ia,0.618233882356435
nonevent,0.278145650168881
II,0.831352971377783
Ia,0.749212648253888
Ia,0.557786654564552
Ib,0.821770039736293
Ib,0.813575236825272
II,0.627740113064647
Ia,0.617877378128469
Ia,0.676664798986167
II,0.653602345380932
nonevent,0.385381211992353
Ib,0.614200341631658
Ia,0.730164131498896
Ib,0.919013285893016
II,0.628231265349314
Ia,0.730187189648859
nonevent,0.417133390903473
Ia,0.665134894428775
Ib,0.752692041569389
II,0.885833566542715
II,0.589846632559784
Ia,0.996376315597445
II,0.978169129695743
nonevent,0.258642095373943
Ia,0.560691506951116
II,0.781528055667877
Ib,0.518726631766185
II,0.977037870674394
nonevent,0.00606269773561507
Ib,0.78831684938632
Ib,0.871258706436493
II,0.59433362307027
Ia,0.648537360131741
II,0.723493326222524
Ib,0.695721631869674
II,0.828521691262722
Ia,0.806974590290338
Ia,0.864403859595768
nonevent,0.160217266296968
Ia,0.57209832733497
Ib,0.526955499895848
nonevent,0.477547884802334
II,0.512800470227376
II,0.960381569573656
nonevent,0.183332372456789
II,0.849196273484267
Ib,0.784676173469052
Ia,0.642005568253808
Ia,0.505684959352948
Ib,0.710686009610072
Ib,0.807146245846525
Ib,0.502377685974352
Ia,0.831799647188745
Ia,0.557826564530842
II,0.951147290063091
nonevent,0.0504993948852643
Ib,0.782707728794776
nonevent,0.125715836533345
II,0.790597949991934
II,0.976261852658354
Ia,0.86363940150477
II,0.702286325744353
Ia,0.746182202128693
nonevent,0.336070174816996
Ib,0.734116113744676
II,0.647871011053212
nonevent,0.273083786014467
Ib,0.867512810160406
nonevent,0.38580710045062
Ia,0.907196613727137
nonevent,0.166564269457012
Ia,0.945622283034027
Ia,0.654351698583923
Ib,0.849384392960928
Ib,0.596737456857227
Ib,0.988353799679317
Ia,0.58454629057087
II,0.58521335804835
Ib,0.814045202452689
Ia,0.867097767768428
nonevent,0.469556620926596
Ia,0.884148105396889
II,0.58315381675493
nonevent,0.140147577039897
Ib,0.712632852839306
II,0.918646749225445
Ia,0.575752362958156
Ib,0.832926889183
II,0.909041861305013
Ib,0.836809139931574
Ia,0.687738463748246
II,0.942167986300774
Ia,0.785516352625564
Ia,0.734973883605562
II,0.818045245949179
Ib,0.870298975147307
II,0.572938798577525
Ia,0.70320164016448
Ia,0.729144679382443
Ia,0.779122504754923
Ib,0.704844973632134
II,0.999059774214402
Ib,0.875137527938932
II,0.594224478118122
Ib,0.554371121455915
nonevent,0.371907428256236
nonevent,0.0575385682750493
Ia,0.998910170514137
Ia,0.889061077614315
nonevent,0.204091519932263
Ib,0.639116650563665
nonevent,0.478347936063074
nonevent,0.127266002469696
II,0.560053101740777
Ib,0.772495042299852
nonevent,0.336764219100587
nonevent,0.187166510499083
nonevent,0.0735579575411975
nonevent,0.484502998297103
Ib,0.534618397243321
Ib,0.801193696912378
nonevent,0.0974341748515144
nonevent,0.282086926745251
II,0.573801068821922
Ib,0.91204629605636
Ib,0.664762954344042
Ia,0.738049510982819
II,0.594891790300608
Ia,0.759718317305669
Ib,0.7475457576802
Ib,0.570831755641848
II,0.876640390022658
II,0.505462414468639
Ia,0.588980977074243
Ib,0.55683812184725
Ia,0.768351517035626
nonevent,0.272712239762768
II,0.510460800724104
nonevent,0.0753662241622806
Ia,0.778168761753477
Ib,0.877263935166411
II,0.830670980736613
Ib,0.882899725809693
Ia,0.571421017171815
Ib,0.793021985096857
Ia,0.853634424041957
Ib,0.710046269348823
nonevent,0.495448588160798
II,0.543009080109186
II,0.774557662196457
Ib,0.689342245575972
Ia,0.693860264727846
Ib,0.662654667859897
Ia,0.998228301526979
Ia,0.873204047908075
II,0.889894979889505
II,0.952335033100098
Ia,0.833362497389317
Ia,0.845914309145883
Ia,0.9730347127188
Ib,0.564799518673681
Ia,0.975283305277117
II,0.97631944832392
nonevent,0.0439263384323567
nonevent,0.42191845329944
nonevent,0.378561380319297
II,0.794217531336471
Ia,0.652501277625561
Ib,0.506837522843853
II,0.66159619926475
II,0.584946824004874
Ib,0.609380539041013
nonevent,0.236332365311682
II,0.504014891921543
Ia,0.888381403055973
Ia,0.895710620563477
Ia,0.559509579557925
II,0.596812725416385
nonevent,0.499669541139156
Ia,0.951615700265393
Ib,0.50266367092263
nonevent,0.361894864123315
II,0.703370981966145
nonevent,0.0114592217141762
Ib,0.698800289770588
nonevent,0.0887681838357821
II,0.626773897442035
II,0.9568223800743
nonevent,0.187433390878141
II,0.64988257328514
II,0.88553801306989
Ib,0.50715833355207
II,0.59548972081393
Ia,0.999653038568795
Ia,0.509317048359662
nonevent,0.358940610778518
Ia,0.768676616484299
Ib,0.695733136963099
II,0.749636997352354
Ib,0.994963189121336
nonevent,0.247386872419156
II,0.988339339615777
Ia,0.873961506062187
Ib,0.842252450762317
nonevent,0.247373501071706
Ia,0.527258649119176
Ib,0.890569695271552
Ib,0.673144956002943
Ib,0.511088355095126
II,0.811387271503918
Ia,0.564810926676728
Ib,0.589924107771367
nonevent,0.318190056714229
nonevent,0.084366180584766
Ib,0.681041137082502
Ib,0.610462252399884
Ia,0.913806511089206
nonevent,0.0018213699804619
Ib,0.578757939045317
nonevent,0.468602133216336
Ib,0.882718636188656
II,0.910816591000184
nonevent,0.125900546903722
Ib,0.558777861646377
nonevent,0.0664227902889252
nonevent,0.209680012078024
nonevent,0.182936255121604
nonevent,0.0723867197521031
Ib,0.759925439371727
II,0.872895188746043
nonevent,0.0548915967810899
Ib,0.684801238123327
II,0.611215928802267
Ib,0.948486985289492
Ia,0.553174391156062
Ib,0.919499793555588
II,0.922684759483673
II,0.513458260451443
Ib,0.882674103369936
nonevent,0.137412619660608
nonevent,0.0754563135560602
Ia,0.549348885542713
Ib,0.855677238083445
II,0.728108815732412
Ia,0.699568516341969
Ib,0.807976521085948
nonevent,0.0663850548444316
nonevent,0.040320803411305
Ib,0.831597270793281
Ia,0.89677044947166
Ia,0.686683217296377
Ib,0.899443575413898
II,0.90530953288544
nonevent,0.432308152201585
Ib,0.71137493243441
nonevent,0.04793609038461
nonevent,0.441297063487582
nonevent,0.144334908225574
II,0.652554111089557
Ia,0.908052587416023
Ia,0.793444203329273
Ia,0.831368898041546
nonevent,0.322209217469208
II,0.614134880132042
II,0.804959588800557
Ib,0.743171823793091
Ib,0.790009567746893
Ib,0.906336005078629
II,0.747407641028985
Ib,0.541016616625711
II,0.731899962411262
Ia,0.799185889656655
Ib,0.956939204130322
II,0.524012385751121
Ia,0.909047692664899
II,0.543822413543239
nonevent,0.135483971680515
Ia,0.923706055735238
II,0.959354285034351
nonevent,0.0410207347013056
Ia,0.778782483423129
Ib,0.521364584797993
Ia,0.63044455263298
II,0.593982123653404
Ia,0.783708587987348
Ib,0.532840749714524
II,0.718774273758754
Ia,0.776551265502349
nonevent,0.270100396825001
Ia,0.627246364718303
Ib,0.582589361467399
nonevent,0.363890538923442
Ia,0.603078930173069
II,0.793232763069682
nonevent,0.456772988778539
nonevent,0.103483300306834
nonevent,0.415908578666858
Ib,0.654454373172484
Ia,0.594211240415461
II,0.759472358739004
nonevent,0.0920178102096543
Ia,0.612139054224826
II,0.978792924666777
nonevent,0.0965571672422811
Ia,0.985935836448334
nonevent,0.465361093636602
Ia,0.609268868342042
Ia,0.679625927703455
II,0.5482030112762
Ia,0.933653780375607
nonevent,0.497824182617478
Ib,0.786057077464648
Ia,0.79540496552363
Ia,0.850165859563276
Ia,0.787035817163996
Ia,0.581640725256875
Ib,0.765172403072938
II,0.749601937248372
nonevent,0.4599842854077
Ib,0.726262931828387
nonevent,0.211989948758855
Ia,0.538523034541868
nonevent,0.463885698467493
Ib,0.656544773024507
Ia,0.706340180709958
nonevent,0.197392933187075
II,0.846635907771997
nonevent,0.2960964118829
Ib,0.57534284342546
Ib,0.671212093322538
II,0.783840551041067
Ia,0.879969673347659
Ib,0.942530012340285
Ib,0.869352371082641
Ia,0.717549712862819
nonevent,0.0102339761797339
nonevent,0.450081061339006
Ia,0.562519137165509
II,0.998403125209734
Ia,0.532311426359229
Ia,0.913442141376436
nonevent,0.178001181571744
Ib,0.700914835208096
II,0.983543415553868
nonevent,0.269214932108298
Ib,0.815230515785515
nonevent,0.16608464915771
Ib,0.55146080662962
Ib,0.992660910706036
II,0.834703939850442
Ib,0.500772148603573
Ia,0.682943562162109
Ib,0.766117291408591
II,0.777661384199746
Ib,0.771924976375885
Ib,0.774881720077246
Ib,0.792255678214133
nonevent,0.0313468587119132
II,0.529819002025761
Ia,0.948676410946064
nonevent,0.292794285574928
Ib,0.912470442592166
II,0.787214949843474
nonevent,0.167681284248829
II,0.947958288365044
Ib,0.534426209866069
II,0.849846505792812
nonevent,0.027346124406904
II,0.93383604940027
nonevent,0.411453636945225
II,0.584578454261646
Ia,0.907963272416964
Ib,0.725248540635221
II,0.625995119451545
Ia,0.788013107492588
II,0.841816655360162
II,0.803636254393496
nonevent,0.336382849956863
Ib,0.621949642547406
Ia,0.976462041027844
II,0.965226404368877
Ia,0.849780091783032
Ib,0.635172975831665
nonevent,0.486676644301042
II,0.5266150503885
Ib,0.799355878960341
nonevent,0.328169157030061
Ia,0.886332551133819
nonevent,0.373416278744116
Ia,0.920802985318005
Ib,0.913723822217435
II,0.734429474454373
nonevent,0.0860038923565298
II,0.991480241296813
Ia,0.700977808795869
Ib,0.883080772240646
nonevent,0.0460084873484448
Ia,0.94770328013692
II,0.900439309421927
nonevent,0.314668818493374
nonevent,0.317983011831529
Ib,0.950910266023129
Ib,0.9097895976156
nonevent,0.249467181158252
II,0.864248650032096
Ia,0.890477914828807
Ib,0.635871825739741
II,0.857290472369641
II,0.785644746152684
Ia,0.945748352794908
II,0.514084580587223
Ib,0.839498949353583
nonevent,0.346249487134628
nonevent,0.285520064411685
Ia,0.916851123096421
Ib,0.647404303774238
nonevent,0.0952932395739481
II,0.584547759499401
nonevent,0.00816935463808477
nonevent,0.0573318555252627
Ia,0.531950462493114
Ia,0.902722245431505
Ia,0.566414418048225
Ia,0.545114704640582
II,0.946347075165249
nonevent,0.366922658984549
Ib,0.750694545917213
nonevent,0.138304200954735
Ia,0.553948057233356
nonevent,0.423513141227886
Ib,0.85539585922379
Ib,0.902625796967186
II,0.507256203796715
Ia,0.626813101116568
Ia,0.70122232392896
Ib,0.66580271278508
II,0.933557531912811
Ia,0.587490534060635
Ib,0.683149207150564
nonevent,0.0138962186174467
nonevent,0.452064091223292
II,0.920538003090769
II,0.981849471689202
Ib,0.807981433812529
Ia,0.560718306223862
nonevent,0.462682123179547
Ia,0.562300724210218
II,0.778039767406881
nonevent,0.0901193881873041
Ib,0.99414452817291
nonevent,0.35075147007592
Ia,0.627346546854824
nonevent,0.399081681040116
Ia,0.68714726914186
II,0.943347446504049
Ib,0.568268327508122
Ib,0.9515545447357
II,0.951174071524292
Ia,0.929488250636496
Ib,0.765948875225149
Ib,0.913170088431798
II,0.967549207736738
Ib,0.782444143434986
II,0.697256914922036
II,0.593616553465836
nonevent,0.441749780788086
Ib,0.616935019963421
Ia,0.972163408761844
II,0.829107611905783
Ib,0.57976618479006
